id,nft_rank,rarity score,img_url,is_one_of_one,background,body,eyes,look,mouth,gender,accessory,outfit,food,facial hair,trait_count,background,body,eyes,look,mouth,gender,accessory,outfit,food,facial hair,trait_count
2352,1074,246.57,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/2352,No,Lime,Droopy Warm,Fire,None,None,Jack,Golf,None,None,Ass Sheeran,5,16.2,14.4,43.1,1.1,14.4,2.0,80.6,1.8,1.1,67.1,4.9
4364,1965,215.11,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/4364,No,Light Blue,Flappy Treasure,Fire,None,None,Jack,None,Purple Puffer,None,Ass Sheeran,5,17.2,14.6,43.1,1.1,14.4,2.0,1.7,47.9,1.1,67.1,4.9
5597,520,298.20,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5597,No,Chamomile,Hay Warm,Flood,None,None,Jack,Blue Cap,None,None,Ass Sheeran,6,16.3,10.0,39.5,1.1,14.4,2.0,54.4,1.8,1.1,67.1,90.5
5167,1038,248.30,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5167,No,Lime,Flappy Treasure,Flood,None,None,Jack,None,Detective,None,Ass Sheeran,5,16.2,14.6,39.5,1.1,14.4,2.0,1.7,85.7,1.1,67.1,4.9
5998,1303,235.74,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5998,No,Blue,Knotty Cool,Flood,None,None,Jack,Red Cap,None,None,Ass Sheeran,4,16.8,22.8,39.5,1.1,14.4,2.0,67.7,1.8,1.1,67.1,1.5
6974,2136,210.66,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/6974,No,Lime,Droopy Warm,Flood,None,None,Jack,Green Beanie,None,None,Ass Sheeran,5,16.2,14.4,39.5,1.1,14.4,2.0,48.2,1.8,1.1,67.1,4.9
5371,2328,206.40,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5371,No,Burgundy,Hay Snow,Flood,None,None,Jack,None,Blue Stripe Tee,None,Ass Sheeran,5,16.9,10.9,39.5,1.1,14.4,2.0,1.7,46.8,1.1,67.1,4.9
2724,491,302.02,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/2724,No,Mint,Hay Treasure,Four-eyes,None,None,Jack,Black Cap,None,None,Ass Sheeran,6,16.6,17.1,26.9,1.1,14.4,2.0,63.4,1.8,1.1,67.1,90.5
6003,1227,238.87,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/6003,No,Purple,Flappy Mud,Four-eyes,None,None,Jack,None,Magic Tee,None,Ass Sheeran,4,17.8,27.9,26.9,1.1,14.4,2.0,1.7,77.5,1.1,67.1,1.5
570,2999,191.55,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/570,No,Burgundy,Droopy Warm,Four-eyes,Naked,None,Jack,None,None,None,Ass Sheeran,4,16.9,14.4,26.9,43.8,14.4,2.0,1.7,1.8,1.1,67.1,1.5
7744,183,426.08,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/7744,No,Lime,Hay Snow,Kawaii,None,None,Jack,Chain,None,None,Ass Sheeran,2,16.2,10.9,18.5,1.1,14.4,2.0,143.8,1.8,1.1,67.1,149.2
3069,372,326.39,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/3069,No,Lime,Hay Snow,Kawaii,None,None,Jack,Wizardonk,None,None,Ass Sheeran,4,16.2,10.9,18.5,1.1,14.4,2.0,191.8,1.8,1.1,67.1,1.5
2732,1314,235.42,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/2732,No,Light Blue,Flappy Turquoise,Kawaii,None,None,Jack,None,Black Tld Tee,None,Ass Sheeran,4,17.2,31.1,18.5,1.1,14.4,2.0,1.7,79.8,1.1,67.1,1.5
5886,2031,213.37,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5886,No,Metropol Night,Flappy Mud,Kawaii,None,None,Jack,None,Blue Turtleneck,None,Ass Sheeran,4,24.4,27.9,18.5,1.1,14.4,2.0,1.7,53.7,1.1,67.1,1.5
5568,2515,201.80,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5568,No,Metropol Dawn,Flappy Treasure,Kawaii,None,None,Jack,None,Blue Turtleneck,None,Ass Sheeran,4,26.1,14.6,18.5,1.1,14.4,2.0,1.7,53.7,1.1,67.1,1.5
6320,2554,200.95,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/6320,No,Starry Red,Hay Cool,Kawaii,None,None,Jack,None,Blue Hoodie,None,Ass Sheeran,5,33.6,10.6,18.5,1.1,14.4,2.0,1.7,46.0,1.1,67.1,4.9
2570,3238,186.68,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/2570,No,Carob,Hay Cool,Kawaii,None,None,Jack,None,Aqua Puffer,None,Ass Sheeran,5,17.7,10.6,18.5,1.1,14.4,2.0,1.7,47.7,1.1,67.1,4.9
6492,3560,180.64,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/6492,No,Lavender,Hay Warm,Kawaii,None,None,Jack,None,Blue Stripe Tee,None,Ass Sheeran,4,16.4,10.0,18.5,1.1,14.4,2.0,1.7,46.8,1.1,67.1,1.5
1068,354,337.51,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/1068,No,Mint,Knotty Mud,Kek,None,None,Jack,None,Red Jumper,None,Ass Sheeran,4,16.6,132.0,32.2,1.1,14.4,2.0,1.7,67.7,1.1,67.1,1.5
6342,1590,225.65,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/6342,No,Starry Plum,Knotty Cool,Kek,None,None,Jack,None,Aqua Puffer,None,Ass Sheeran,5,30.7,22.8,32.2,1.1,14.4,2.0,1.7,47.7,1.1,67.1,4.9
1091,1400,231.77,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/1091,No,Light Blue,Flappy Treasure,Notice Me Senpai,None,None,Jack,None,None,Loco Taco,Ass Sheeran,4,17.2,14.6,19.8,1.1,14.4,2.0,1.7,1.8,90.5,67.1,1.5
1269,1781,220.47,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/1269,No,Orange,Hay Purple,Notice Me Senpai,None,None,Jack,Golf,None,None,Ass Sheeran,5,17.1,10.7,19.8,1.1,14.4,2.0,80.6,1.8,1.1,67.1,4.9
404,1837,218.85,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/404,No,Lime,Droopy Blue,Notice Me Senpai,None,None,Jack,None,Red Stripe Tee,None,Ass Sheeran,4,16.2,39.9,19.8,1.1,14.4,2.0,1.7,54.1,1.1,67.1,1.5
45,2041,213.08,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/45,No,Pink,Droopy Blue,Notice Me Senpai,None,None,Jack,None,Pink Hoodie,None,Ass Sheeran,4,18.7,39.9,19.8,1.1,14.4,2.0,1.7,45.8,1.1,67.1,1.5
971,2244,208.07,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/971,No,Starry Sand,Flappy Treasure,Notice Me Senpai,None,None,Jack,None,Aqua Puffer,None,Ass Sheeran,5,33.7,14.6,19.8,1.1,14.4,2.0,1.7,47.7,1.1,67.1,4.9
5116,678,276.84,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5116,No,Purple,Hay Cool,Pleased,None,None,Jack,None,None,Choco Donut,Ass Sheeran,4,17.8,10.6,28.9,1.1,14.4,2.0,1.7,1.8,129.9,67.1,1.5
7821,1523,227.78,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/7821,No,Metropol Dawn,Hay Cool,Pleased,None,None,Jack,Straw Hat,None,None,Ass Sheeran,4,26.1,10.6,28.9,1.1,14.4,2.0,73.2,1.8,1.1,67.1,1.5
5047,1928,216.24,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5047,No,Burgundy,Flappy Mud,Pleased,None,None,Jack,None,Blue Turtleneck,None,Ass Sheeran,4,16.9,27.9,28.9,1.1,14.4,2.0,1.7,53.7,1.1,67.1,1.5
6021,1997,214.25,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/6021,No,Purple,Flappy Mud,Pleased,Naked,None,Jack,None,None,None,Ass Sheeran,3,17.8,27.9,28.9,43.8,14.4,2.0,1.7,1.8,1.1,67.1,7.8
7862,2079,212.36,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/7862,No,Mint,Hay Blue,Pleased,None,None,Jack,Green Beanie,None,None,Ass Sheeran,4,16.6,29.6,28.9,1.1,14.4,2.0,48.2,1.8,1.1,67.1,1.5
5733,652,279.81,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5733,No,Carob,Hay Blue,Rest,None,None,Jack,Sneakers,None,None,Ass Sheeran,3,17.7,29.6,20.5,1.1,14.4,2.0,116.7,1.8,1.1,67.1,7.8
4319,981,251.48,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/4319,No,Lime,Flappy Turquoise,Rest,None,None,Jack,None,Aloha Coco,None,Ass Sheeran,4,16.2,31.1,20.5,1.1,14.4,2.0,1.7,94.8,1.1,67.1,1.5
7235,1063,247.02,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/7235,No,Sky Day,Hay Cool,Rest,None,None,Jack,Red Cap,None,None,Ass Sheeran,4,59.2,10.6,20.5,1.1,14.4,2.0,67.7,1.8,1.1,67.1,1.5
7321,1743,221.61,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/7321,No,Mint,Flappy Mud,Rest,None,None,Jack,None,Red Jumper,None,Ass Sheeran,4,16.6,27.9,20.5,1.1,14.4,2.0,1.7,67.7,1.1,67.1,1.5
2098,1775,220.69,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/2098,No,Burgundy,Flappy Treasure,Rest,None,None,Jack,None,Black Tld Tee,None,Ass Sheeran,4,16.9,14.6,20.5,1.1,14.4,2.0,1.7,79.8,1.1,67.1,1.5
2691,2197,209.26,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/2691,No,Metropol Sunset,Flappy Mud,Rest,None,None,Jack,Red Beanie,None,None,Ass Sheeran,4,25.3,27.9,20.5,1.1,14.4,2.0,46.6,1.8,1.1,67.1,1.5
804,2788,195.97,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/804,No,Metropol Sunset,Flappy Cool,Rest,None,None,Jack,None,Blue Hoodie,None,Ass Sheeran,4,25.3,15.2,20.5,1.1,14.4,2.0,1.7,46.0,1.1,67.1,1.5
6036,2958,192.53,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/6036,No,Blue,Droopy Snow,Rest,None,None,Jack,Purple Beanie,None,None,Ass Sheeran,4,16.8,20.2,20.5,1.1,14.4,2.0,46.0,1.8,1.1,67.1,1.5
276,3017,191.25,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/276,No,Lavender,Droopy Warm,Rest,None,None,Jack,None,Aqua Puffer,None,Ass Sheeran,5,16.4,14.4,20.5,1.1,14.4,2.0,1.7,47.7,1.1,67.1,4.9
5206,3030,191.04,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5206,No,Metropol Night,Hay Snow,Rest,None,None,Jack,None,Orange Hoodie,None,Ass Sheeran,4,24.4,10.9,20.5,1.1,14.4,2.0,1.7,46.3,1.1,67.1,1.5
4251,3367,184.18,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/4251,No,Magenta,Hay Cool,Rest,None,None,Jack,None,Pink Hoodie,None,Ass Sheeran,4,18.4,10.6,20.5,1.1,14.4,2.0,1.7,45.8,1.1,67.1,1.5
6330,348,339.21,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/6330,No,Sky Day,Flappy Oreo,Shades,None,None,Jack,White Headset,None,None,Ass Sheeran,4,59.2,85.7,38.7,1.1,14.4,2.0,66.6,1.8,1.1,67.1,1.5
6183,1442,230.77,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/6183,No,Starry Plum,Flappy Mud,Shades,Naked,None,Jack,None,None,None,Ass Sheeran,4,30.7,27.9,38.7,43.8,14.4,2.0,1.7,1.8,1.1,67.1,1.5
4857,2321,206.53,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/4857,No,Mint,Droopy Warm,Shades,Naked,None,Jack,None,None,None,Ass Sheeran,5,16.6,14.4,38.7,43.8,14.4,2.0,1.7,1.8,1.1,67.1,4.9
1383,81,510.00,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/1383,No,Carob,Hay Blue,Simp,Swol Body,None,Jack,None,None,None,Ass Sheeran,5,17.7,29.6,19.5,350.2,14.4,2.0,1.7,1.8,1.1,67.1,4.9
2123,1463,229.99,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/2123,No,Starry Sand,Flappy Mud,Simp,None,None,Jack,None,Blue Turtleneck,None,Ass Sheeran,3,33.7,27.9,19.5,1.1,14.4,2.0,1.7,53.7,1.1,67.1,7.8
7951,2149,210.39,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/7951,No,Starry Green,Hay Snow,Simp,None,None,Jack,None,Orange Hoodie,None,Ass Sheeran,4,44.8,10.9,19.5,1.1,14.4,2.0,1.7,46.3,1.1,67.1,1.5
5565,3230,186.86,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5565,No,Pink,Flappy Cool,Simp,Naked,None,Jack,None,None,None,Ass Sheeran,4,18.7,15.2,19.5,43.8,14.4,2.0,1.7,1.8,1.1,67.1,1.5
3913,951,253.57,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/3913,No,Magenta,Hay Blue,Sleepy Four-eyes,None,None,Jack,None,Aloha Coco,None,Ass Sheeran,4,18.4,29.6,21.9,1.1,14.4,2.0,1.7,94.8,1.1,67.1,1.5
7788,1777,220.59,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/7788,No,Lime,Droopy Blue,Sleepy Four-eyes,None,None,Jack,None,Blue Turtleneck,None,Ass Sheeran,4,16.2,39.9,21.9,1.1,14.4,2.0,1.7,53.7,1.1,67.1,1.5
4485,2093,211.94,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/4485,No,Lime,Flappy Mud,Sleepy Four-eyes,None,None,Jack,None,Blue Turtleneck,None,Ass Sheeran,5,16.2,27.9,21.9,1.1,14.4,2.0,1.7,53.7,1.1,67.1,4.9
3362,1279,236.78,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/3362,No,Magenta,Flappy Turquoise,Sparkles,None,None,Jack,Tank Chain,None,None,Ass Sheeran,3,18.4,31.1,20.7,1.1,14.4,2.0,71.3,1.8,1.1,67.1,7.8
2429,1378,232.60,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/2429,No,Orange,Droopy Snow,Sparkles,None,None,Jack,None,Detective,None,Ass Sheeran,4,17.1,20.2,20.7,1.1,14.4,2.0,1.7,85.7,1.1,67.1,1.5
2824,1405,231.70,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/2824,No,Metropol Sunset,Hay Treasure,Sparkles,None,None,Jack,Straw Hat,None,None,Ass Sheeran,3,25.3,17.1,20.7,1.1,14.4,2.0,73.2,1.8,1.1,67.1,7.8
3424,1410,231.61,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/3424,No,Starry Plum,Hay Cool,Sparkles,None,None,Jack,Golf,None,None,Ass Sheeran,4,30.7,10.6,20.7,1.1,14.4,2.0,80.6,1.8,1.1,67.1,1.5
3529,1825,219.13,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/3529,No,Starry Plum,Flappy Turquoise,Sparkles,None,None,Jack,None,Aqua Puffer,None,Ass Sheeran,4,30.7,31.1,20.7,1.1,14.4,2.0,1.7,47.7,1.1,67.1,1.5
4861,2201,209.12,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/4861,No,Lime,Hay Warm,Sparkles,None,None,Jack,Straw Hat,None,None,Ass Sheeran,4,16.2,10.0,20.7,1.1,14.4,2.0,73.2,1.8,1.1,67.1,1.5
1263,3359,184.37,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/1263,No,Blue,Hay Warm,Sparkles,None,None,Jack,None,Purple Puffer,None,Ass Sheeran,4,16.8,10.0,20.7,1.1,14.4,2.0,1.7,47.9,1.1,67.1,1.5
3225,3461,182.41,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/3225,No,Carob,Hay Cool,Sparkles,Naked,None,Jack,None,None,None,Ass Sheeran,4,17.7,10.6,20.7,43.8,14.4,2.0,1.7,1.8,1.1,67.1,1.5
5682,291,364.85,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5682,No,Starry Sand,Flappy Mud,Stare,None,None,Jack,Blue Cap,None,None,Ass Sheeran,2,33.7,27.9,12.2,1.1,14.4,2.0,54.4,1.8,1.1,67.1,149.2
1851,810,265.50,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/1851,No,Lavender,Flappy Turquoise,Stare,None,None,Jack,Sneakers,None,None,Ass Sheeran,4,16.4,31.1,12.2,1.1,14.4,2.0,116.7,1.8,1.1,67.1,1.5
3638,943,254.18,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/3638,No,Purple,Droopy Snow,Stare,None,None,Jack,None,Business Formal,None,Ass Sheeran,4,17.8,20.2,12.2,1.1,14.4,2.0,1.7,115.1,1.1,67.1,1.5
7412,2073,212.48,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/7412,No,Blue,Flappy Mud,Stare,None,None,Jack,White Headset,None,None,Ass Sheeran,4,16.8,27.9,12.2,1.1,14.4,2.0,66.6,1.8,1.1,67.1,1.5
6238,2162,210.02,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/6238,No,Chamomile,Hay Blue,Stare,None,None,Jack,None,Green Turtleneck,None,Ass Sheeran,4,16.3,29.6,12.2,1.1,14.4,2.0,1.7,62.9,1.1,67.1,1.5
4267,2401,204.81,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/4267,No,Carob,Flappy Treasure,Stare,None,None,Jack,Tank Chain,None,None,Ass Sheeran,4,17.7,14.6,12.2,1.1,14.4,2.0,71.3,1.8,1.1,67.1,1.5
6961,2424,204.13,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/6961,No,Purple,Flappy Cool,Stare,None,None,Jack,Choker,None,None,Ass Sheeran,5,17.8,15.2,12.2,1.1,14.4,2.0,66.6,1.8,1.1,67.1,4.9
3793,2556,200.90,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/3793,No,Purple,Hay Cool,Stare,None,None,Jack,Tank Chain,None,None,Ass Sheeran,4,17.8,10.6,12.2,1.1,14.4,2.0,71.3,1.8,1.1,67.1,1.5
5368,2672,198.61,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5368,No,Metropol Night,Flappy Cool,Stare,None,None,Jack,Blue Cap,None,None,Ass Sheeran,5,24.4,15.2,12.2,1.1,14.4,2.0,54.4,1.8,1.1,67.1,4.9
1173,2889,194.04,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/1173,No,Magenta,Flappy Mud,Stare,None,None,Jack,Red Beanie,None,None,Ass Sheeran,4,18.4,27.9,12.2,1.1,14.4,2.0,46.6,1.8,1.1,67.1,1.5
827,411,315.90,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/827,No,Magenta,Knotty Mud,Stoned,None,None,Jack,Black Cap,None,None,Ass Sheeran,4,18.4,132.0,13.0,1.1,14.4,2.0,63.4,1.8,1.1,67.1,1.5
5676,783,267.76,QmTSgHvkYHEyxS3TdJ1hznkB1XXW7vXaraFiEwHV9vgdNP/5676,No,Metropol Night,Flappy Mud,Stoned,None,None,Jack,Colored Headset,None,None,Ass Sheeran,4,24.4,27.9,13.0,1.1,14.4,2.0,113.5,1.8,1.1,67.1,1.5
